"name","value","color","type"
"yesno","Yes","green","string"
"yesno","No","red","string"
"noyes","Yes","red","string"
"noyes","No","green","string"
"distancetox","X < 1","green","math"
"distancetox","x < 5","yellow","math"
"distancetox","X < 10","orange","math"
"distancetox","X < 10","red","math"
"PartnerPresenceLivelihood","none","red","list"
"PartnerPresenceLivelihood","ACF","green","list"
"PartnerPresenceLivelihood","AI","green","list"
"PartnerPresenceLivelihood","AUN","green","list"
"PartnerPresenceLivelihood","CAID","green","list"
"PartnerPresenceLivelihood","Care","green","list"
"PartnerPresenceLivelihood","CRUDAN","green","list"
"PartnerPresenceLivelihood","DRC","green","list"
"PartnerPresenceLivelihood","FAO","green","list"
"PartnerPresenceLivelihood","GEPaDC","green","list"
"PartnerPresenceLivelihood","GZDI","green","list"
"PartnerPresenceLivelihood","HerwaCDI","green","list"
"PartnerPresenceLivelihood","ICEED","green","list"
"PartnerPresenceLivelihood","ICRC","green","list"
"PartnerPresenceLivelihood","IDSO","green","list"
